CITY_TYPE,CITY,COMMUNITY,LABEL,City_Community,Cases,Case_Rate,Deaths,Death_Rate,Percent_of_People_with_1__Dose,Percent_of_People_Fully_Vaccinated
City,Los Angeles,Winnetka,Los Angeles - Winnetka,Los Angeles - Winnetka,15312,29568,121,234,0.84,0.77
City,Los Angeles,Woodland Hills,Los Angeles - Woodland Hills,Los Angeles - Woodland Hills,14626,21491,115,169,0.86,0.8
City,Lynwood, ,City of Lynwood,City of Lynwood,24826,34458,292,405,0.76,0.67
City,Malibu, ,City of Malibu,City of Malibu,2137,16488,13,100,0.69,0.62
City,Manhattan Beach, ,City of Manhattan Beach,City of Manhattan Beach,5035,13986,27,75,0.93,0.85
City,Maywood, ,City of Maywood,City of Maywood,10573,37695,104,371,0.76,0.68
City,Montebello, ,City of Montebello,City of Montebello,19239,29886,283,440,0.81,0.74
City,Monterey Park, ,City of Monterey Park,City of Monterey Park,11591,18616,234,376,0,0.88
City,Norwalk, ,City of Norwalk,City of Norwalk,33243,30889,466,433,0.8,0.73
City,Palmdale, ,City of Palmdale,City of Palmdale,53007,33344,445,280,0.76,0.69
City,Palos Verdes Estates, ,City of Palos Verdes Estates,City of Palos Verdes Estates,1529,11307,12,89,0.89,0.83
City,Paramount, ,City of Paramount,City of Paramount,18930,33790,210,375,0.76,0.68
City,Pasadena, ,City of Pasadena,City of Pasadena,28473,,414,,0.86,0.79
City,Pico Rivera, ,City of Pico Rivera,City of Pico Rivera,20982,32640,334,520,0.83,0.76
City,Rancho Palos Verdes, ,City of Rancho Palos Verdes,City of Rancho Palos Verdes,4947,11573,82,192,0.89,0.82
City,Redondo Beach, ,City of Redondo Beach,City of Redondo Beach,10137,14756,69,100,0.89,0.83
City,Rolling Hills, ,City of Rolling Hills,City of Rolling Hills,190,9794,3,155,0.8,0.74
City,Rolling Hills Estates, ,City of Rolling Hills Estates,City of Rolling Hills Estates,1007,12412,10,123,0,0.9
City,Rosemead, ,City of Rosemead,City of Rosemead,10842,19588,186,336,0.89,0.82
City,San Dimas, ,City of San Dimas,City of San Dimas,8095,23453,127,368,0.76,0.71
City,San Fernando, ,City of San Fernando,City of San Fernando,10446,42443,80,325,0.83,0.76
City,San Gabriel, ,City of San Gabriel,City of San Gabriel,7644,18665,243,593,0.93,0.85
City,San Marino, ,City of San Marino,City of San Marino,1457,10974,13,98,0.93,0.86
City,Santa Clarita, ,City of Santa Clarita,City of Santa Clarita,54213,24595,382,173,0.83,0.77
City,Santa Fe Springs, ,City of Santa Fe Springs,City of Santa Fe Springs,6373,34704,55,299,0.82,0.76
City,Santa Monica, ,City of Santa Monica,City of Santa Monica,17349,18767,240,260,0.92,0.84
City,Sierra Madre, ,City of Sierra Madre,City of Sierra Madre,1541,14023,22,200,0.9,0.84
City,Signal Hill, ,City of Signal Hill,City of Signal Hill,2853,24184,13,110,0.8,0.74
City,South El Monte, ,City of South El Monte,City of South El Monte,6583,31520,88,421,0.81,0.74
City,South Gate, ,City of South Gate,City of South Gate,38406,39128,314,320,0.81,0.74
City,South Pasadena, ,City of South Pasadena,City of South Pasadena,4063,15595,61,234,0.95,0.88
City,Temple City, ,City of Temple City,City of Temple City,6256,17161,150,411,0.92,0.85
City,Torrance, ,City of Torrance,City of Torrance,23021,15423,302,202,0.88,0.82
City,Vernon, ,City of Vernon,City of Vernon,308,147368,0,0,0,0
City,Walnut, ,City of Walnut,City of Walnut,4909,16078,46,151,0.89,0.84
City,West Covina, ,City of West Covina,City of West Covina,29332,27100,363,335,0.85,0.78
City,West Hollywood, ,City of West Hollywood,City of West Hollywood,8107,21940,61,165,0.87,0.78
City,Westlake Village, ,City of Westlake Village,City of Westlake Village,280,3349,2,24,0.84,0.78
City,Whittier, ,City of Whittier,City of Whittier,23755,27170,336,384,0.8,0.73
Unincorporated,Unincorporated,Acton,Unincorporated - Acton,Unincorporated - Acton,1521,19082,17,213,0.53,0.49
Unincorporated,Unincorporated,Agua Dulce,Unincorporated - Agua Dulce,Unincorporated - Agua Dulce,781,18783,6,144,0.58,0.54
Unincorporated,Unincorporated,Altadena,Unincorporated - Altadena,Unincorporated - Altadena,8403,19264,98,225,0.83,0.78
Unincorporated,Unincorporated,Anaverde,Unincorporated - Anaverde,Unincorporated - Anaverde,324,21485,1,66,0.63,0.58
Unincorporated,Unincorporated,Angeles National Forest,Unincorporated - Angeles National Forest,Unincorporated - Angeles National Forest,73,5863,1,80,0.82,0.71
Unincorporated,Unincorporated,Arcadia,Unincorporated - Arcadia,Unincorporated - Arcadia,1457,18256,19,238,0.84,0.78
Unincorporated,Unincorporated,Athens-Westmont,Unincorporated - Athens-Westmont,Unincorporated - Athens-Westmont,14268,33618,154,363,0.72,0.64
Unincorporated,Unincorporated,Athens Village,Unincorporated - Athens Village,Unincorporated - Athens Village,2278,46518,36,735,0.85,0.75
Unincorporated,Unincorporated,Avocado Heights,Unincorporated - Avocado Heights,Unincorporated - Avocado Heights,2215,32694,21,310,0.8,0.73
Unincorporated,Unincorporated,Azusa,Unincorporated - Azusa,Unincorporated - Azusa,4963,31169,52,327,0.77,0.71
Unincorporated,Unincorporated,Bassett,Unincorporated - Bassett,Unincorporated - Bassett,4798,32382,55,371,0.83,0.77
Unincorporated,Unincorporated,Bouquet Canyon,Unincorporated - Bouquet Canyon,Unincorporated - Bouquet Canyon,149,13886,2,186,0.56,0.51
Unincorporated,Unincorporated,Bradbury,Unincorporated - Bradbury,Unincorporated - Bradbury,71,65741,26,24074,0,0
Unincorporated,Unincorporated,Canyon Country,Unincorporated - Canyon Country,Unincorporated - Canyon Country,2607,33734,9,116,0.77,0.71
Unincorporated,Unincorporated,Castaic,Unincorporated - Castaic,Unincorporated - Castaic,7142,26266,28,103,0.58,0.54
Unincorporated,Unincorporated,Cerritos,Unincorporated - Cerritos,Unincorporated - Cerritos,136,23169,2,341,0.77,0.71
Unincorporated,Unincorporated,Charter Oak,Unincorporated - Charter Oak,Unincorporated - Charter Oak,2,10000,0,0,0,0
Unincorporated,Unincorporated,Claremont,Unincorporated - Claremont,Unincorporated - Claremont,100,14245,5,712,0.54,0.5
Unincorporated,Unincorporated,Covina,Unincorporated - Covina,Unincorporated - Covina,4792,28492,57,339,0.79,0.73
Unincorporated,Unincorporated,Covina (Charter Oak),Unincorporated - Covina (Charter Oak),Unincorporated - Covina (Charter Oak),3603,27412,26,198,0.76,0.71
Unincorporated,Unincorporated,Del Aire,Unincorporated - Del Aire,Unincorporated - Del Aire,886,20168,4,91,0.86,0.79
Unincorporated,Unincorporated,Del Rey,Unincorporated - Del Rey,Unincorporated - Del Rey,92,28931,1,314,0,0
Unincorporated,Unincorporated,Del Sur,Unincorporated - Del Sur,Unincorporated - Del Sur,538,22277,3,124,0.64,0.59
Unincorporated,Unincorporated,Desert View Highlands,Unincorporated - Desert View Highlands,Unincorporated - Desert View Highlands,754,30245,13,521,0.66,0.62
Unincorporated,Unincorporated,Duarte,Unincorporated - Duarte,Unincorporated - Duarte,1522,34372,14,316,0.89,0.81
Unincorporated,Unincorporated,East Covina,Unincorporated - East Covina,Unincorporated - East Covina,76,23100,1,304,0.78,0.72
Unincorporated,Unincorporated,East La Mirada,Unincorporated - East La Mirada,Unincorporated - East La Mirada,1209,22846,13,246,0.77,0.72
Unincorporated,Unincorporated,East Lancaster,Unincorporated - East Lancaster,Unincorporated - East Lancaster,37,32456,0,0,0.46,0.42
Unincorporated,Unincorporated,East Los Angeles,Unincorporated - East Los Angeles,Unincorporated - East Los Angeles,48012,38327,535,427,0.8,0.72
Unincorporated,Unincorporated,East Pasadena,Unincorporated - East Pasadena,Unincorporated - East Pasadena,325,5076,11,172,0.87,0.8
Unincorporated,Unincorporated,East Rancho Dominguez,Unincorporated - East Rancho Dominguez,Unincorporated - East Rancho Dominguez,5102,33329,63,412,0.73,0.65
Unincorporated,Unincorporated,East Whittier,Unincorporated - East Whittier,Unincorporated - East Whittier,1074,20241,10,188,0.66,0.62
Unincorporated,Unincorporated,El Camino Village,Unincorporated - El Camino Village,Unincorporated - El Camino Village,1875,21329,16,182,0.81,0.75
Unincorporated,Unincorporated,El Monte,Unincorporated - El Monte,Unincorporated - El Monte,51,35172,0,0,0.72,0.58
Unincorporated,Unincorporated,Elizabeth Lake,Unincorporated - Elizabeth Lake,Unincorporated - Elizabeth Lake,207,12462,1,60,0.43,0.4
Unincorporated,Unincorporated,Florence-Firestone,Unincorporated - Florence-Firestone,Unincorporated - Florence-Firestone,26335,40700,259,400,0.82,0.7
Unincorporated,Unincorporated,Franklin Canyon,Unincorporated - Franklin Canyon,Unincorporated - Franklin Canyon,1,8333,0,0,0,0
Unincorporated,Unincorporated,Glendora,Unincorporated - Glendora,Unincorporated - Glendora,167,25303,3,455,0.75,0.68
Unincorporated,Unincorporated,Hacienda Heights,Unincorporated - Hacienda Heights,Unincorporated - Hacienda Heights,11770,21046,134,240,0.85,0.79
Unincorporated,Unincorporated,Harbor Gateway,Unincorporated - Harbor Gateway,Unincorporated - Harbor Gateway,4,400000,0,0,0,0
Unincorporated,Unincorporated,Hawthorne,Unincorporated - Hawthorne,Unincorporated - Hawthorne,604,24025,5,199,0.82,0.75
Unincorporated,Unincorporated,Hi Vista,Unincorporated - Hi Vista,Unincorporated - Hi Vista,133,12113,2,182,0,0.88
Unincorporated,Unincorporated,Kagel/Lopez Canyons,Unincorporated - Kagel/Lopez Canyons,Unincorporated - Kagel/Lopez Canyons,527,37323,3,212,0.6,0.55
Unincorporated,Unincorporated,La Crescenta-Montrose,Unincorporated - La Crescenta-Montrose,Unincorporated - La Crescenta-Montrose,2897,14631,24,121,0.89,0.82
Unincorporated,Unincorporated,La Habra Heights,Unincorporated - La Habra Heights,Unincorporated - La Habra Heights,17,2515,1,148,0.75,0.69
Unincorporated,Unincorporated,La Rambla,Unincorporated - La Rambla,Unincorporated - La Rambla,604,29108,25,1205,0.73,0.61
Unincorporated,Unincorporated,La Verne,Unincorporated - La Verne,Unincorporated - La Verne,500,24510,2,98,0.74,0.69
Unincorporated,Unincorporated,Ladera Heights,Unincorporated - Ladera Heights,Unincorporated - Ladera Heights,1275,18031,18,255,0.82,0.77
Unincorporated,Unincorporated,Lake Hughes,Unincorporated - Lake Hughes,Unincorporated - Lake Hughes,147,22006,0,0,0.31,0.3
Unincorporated,Unincorporated,Lake Los Angeles,Unincorporated - Lake Los Angeles,Unincorporated - Lake Los Angeles,3446,26520,27,208,0.62,0.55
Unincorporated,Unincorporated,Lake Manor,Unincorporated - Lake Manor,Unincorporated - Lake Manor,345,20998,2,122,0.8,0.74
Unincorporated,Unincorporated,Lakewood,Unincorporated - Lakewood,Unincorporated - Lakewood,1,877,0,0,0.46,0.46
Unincorporated,Unincorporated,Lennox,Unincorporated - Lennox,Unincorporated - Lennox,6422,28489,67,297,0.76,0.69
Unincorporated,Unincorporated,Leona Valley,Unincorporated - Leona Valley,Unincorporated - Leona Valley,259,14792,5,286,0.42,0.39
Unincorporated,Unincorporated,Littlerock,Unincorporated - Littlerock,Unincorporated - Littlerock,1191,29619,9,224,0.54,0.5
Unincorporated,Unincorporated,Littlerock/Juniper Hills,Unincorporated - Littlerock/Juniper Hills,Unincorporated - Littlerock/Juniper Hills,277,21357,4,308,0.68,0.62
Unincorporated,Unincorporated,Littlerock/Pearblossom,Unincorporated - Littlerock/Pearblossom,Unincorporated - Littlerock/Pearblossom,1040,29140,14,392,0.63,0.57
Unincorporated,Unincorporated,Llano,Unincorporated - Llano,Unincorporated - Llano,101,11517,2,228,0.5,0.45
Unincorporated,Unincorporated,Marina del Rey,Unincorporated - Marina del Rey,Unincorporated - Marina del Rey,1689,17947,4,43,0,0.91
Unincorporated,Unincorporated,Miracle Mile,Unincorporated - Miracle Mile,Unincorporated - Miracle Mile,0,0,0,0,,
Unincorporated,Unincorporated,Monrovia,Unincorporated - Monrovia,Unincorporated - Monrovia,872,22468,4,103,0.8,0.74
Unincorporated,Unincorporated,Newhall,Unincorporated - Newhall,Unincorporated - Newhall,87,39545,1,455,0.79,0.75
Unincorporated,Unincorporated,North Lancaster,Unincorporated - North Lancaster,Unincorporated - North Lancaster,340,28381,4,334,0.67,0.62
Unincorporated,Unincorporated,North Whittier,Unincorporated - North Whittier,Unincorporated - North Whittier,2391,28600,33,395,0.77,0.71
Unincorporated,Unincorporated,Northeast San Gabriel,Unincorporated - Northeast San Gabriel,Unincorporated - Northeast San Gabriel,4078,16966,51,212,0.86,0.79
Unincorporated,Unincorporated,Padua Hills,Unincorporated - Padua Hills,Unincorporated - Padua Hills,26,12093,0,0,0.63,0.56
Unincorporated,Unincorporated,Palmdale,Unincorporated - Palmdale,Unincorporated - Palmdale,213,25297,5,594,0.49,0.43
Unincorporated,Unincorporated,Palos Verdes Peninsula,Unincorporated - Palos Verdes Peninsula,Unincorporated - Palos Verdes Peninsula,66,10628,0,0,0.93,0.88
Unincorporated,Unincorporated,Pearblossom/Llano,Unincorporated - Pearblossom/Llano,Unincorporated - Pearblossom/Llano,322,16462,3,153,0.35,0.32
Unincorporated,Unincorporated,Pellissier Village,Unincorporated - Pellissier Village,Unincorporated - Pellissier Village,297,47981,1,162,0,0.94
Unincorporated,Unincorporated,Placerita Canyon,Unincorporated - Placerita Canyon,Unincorporated - Placerita Canyon,15,3261,0,0,0.18,0.17
Unincorporated,Unincorporated,Pomona,Unincorporated - Pomona,Unincorporated - Pomona,140,7224,3,155,0.23,0.21
Unincorporated,Unincorporated,Quartz Hill,Unincorporated - Quartz Hill,Unincorporated - Quartz Hill,3109,24090,35,271,0.6,0.55
Unincorporated,Unincorporated,Rancho Dominguez,Unincorporated - Rancho Dominguez,Unincorporated - Rancho Dominguez,927,34837,6,225,0.91,0.83
Unincorporated,Unincorporated,Roosevelt,Unincorporated - Roosevelt,Unincorporated - Roosevelt,218,23416,2,215,0.7,0.63
Unincorporated,Unincorporated,Rosewood,Unincorporated - Rosewood,Unincorporated - Rosewood,394,30638,6,467,0.65,0.59
Unincorporated,Unincorporated,Rosewood/East Gardena,Unincorporated - Rosewood/East Gardena,Unincorporated - Rosewood/East Gardena,413,34619,6,503,0.89,0.82
Unincorporated,Unincorporated,Rosewood/West Rancho Dominguez,Unincorporated - Rosewood/West Rancho Dominguez,Unincorporated - Rosewood/West Rancho Dominguez,1076,32014,18,536,0.69,0.63
Unincorporated,Unincorporated,Rowland Heights,Unincorporated - Rowland Heights,Unincorporated - Rowland Heights,8793,17234,106,208,0.87,0.81
Unincorporated,Unincorporated,San Francisquito Canyon/Bouquet Canyon,Unincorporated - San Francisquito Canyon/Bouquet Canyon,Unincorporated - San Francisquito Canyon/Bouquet Canyon,34,3963,0,0,0,0
Unincorporated,Unincorporated,San Jose Hills,Unincorporated - San Jose Hills,Unincorporated - San Jose Hills,6410,31700,97,480,0.81,0.74
Unincorporated,Unincorporated,San Pasqual,Unincorporated - San Pasqual,Unincorporated - San Pasqual,64,3145,1,49,0.93,0.86
Unincorporated,Unincorporated,Sand Canyon,Unincorporated - Sand Canyon,Unincorporated - Sand Canyon,48,15584,0,0,0.83,0.78
Unincorporated,Unincorporated,Santa Catalina Island,Unincorporated - Santa Catalina Island,Unincorporated - Santa Catalina Island,616,230712,5,1873,0.2,0.12
Unincorporated,Unincorporated,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,Unincorporated - Santa Monica Mountains,2803,15053,19,102,0.73,0.67
Unincorporated,Unincorporated,Saugus,Unincorporated - Saugus,Unincorporated - Saugus,314,202581,1,645,0,0
Unincorporated,Unincorporated,Saugus/Canyon Country,Unincorporated - Saugus/Canyon Country,Unincorporated - Saugus/Canyon Country,90,25281,1,281,0.91,0.84
Unincorporated,Unincorporated,South Antelope Valley,Unincorporated - South Antelope Valley,Unincorporated - South Antelope Valley,88,19341,1,220,0.46,0.43
Unincorporated,Unincorporated,South El Monte,Unincorporated - South El Monte,Unincorporated - South El Monte,625,34819,6,334,0.77,0.71
Unincorporated,Unincorporated,South San Gabriel,Unincorporated - South San Gabriel,Unincorporated - South San Gabriel,2035,23000,56,633,0.9,0.83
Unincorporated,Unincorporated,South Whittier,Unincorporated - South Whittier,Unincorporated - South Whittier,17241,29112,188,317,0.76,0.71
Unincorporated,Unincorporated,Southeast Antelope Valley,Unincorporated - Southeast Antelope Valley,Unincorporated - Southeast Antelope Valley,185,23688,1,128,0.64,0.58
Unincorporated,Unincorporated,Stevenson Ranch,Unincorporated - Stevenson Ranch,Unincorporated - Stevenson Ranch,4076,19441,15,72,0.84,0.79
Unincorporated,Unincorporated,Sun Village,Unincorporated - Sun Village,Unincorporated - Sun Village,1806,29920,19,315,0.77,0.69
Unincorporated,Unincorporated,Sunrise Village,Unincorporated - Sunrise Village,Unincorporated - Sunrise Village,420,32407,2,154,0.84,0.76
Unincorporated,Unincorporated,Twin Lakes/Oat Mountain,Unincorporated - Twin Lakes/Oat Mountain,Unincorporated - Twin Lakes/Oat Mountain,304,18335,4,241,0.74,0.7
Unincorporated,Unincorporated,Val Verde,Unincorporated - Val Verde,Unincorporated - Val Verde,844,25506,3,91,0.7,0.65
Unincorporated,Unincorporated,Valinda,Unincorporated - Valinda,Unincorporated - Valinda,7470,31963,97,415,0.82,0.76
Unincorporated,Unincorporated,View Park/Windsor Hills,Unincorporated - View Park/Windsor Hills,Unincorporated - View Park/Windsor Hills,2475,21272,21,180,0.8,0.74
Unincorporated,Unincorporated,Walnut Park,Unincorporated - Walnut Park,Unincorporated - Walnut Park,6099,37781,64,396,0.84,0.75
Unincorporated,Unincorporated,West Antelope Valley,Unincorporated - West Antelope Valley,Unincorporated - West Antelope Valley,135,8934,1,66,0.4,0.36
Unincorporated,Unincorporated,West Carson,Unincorporated - West Carson,Unincorporated - West Carson,5551,25134,164,743,0.87,0.8
Unincorporated,Unincorporated,West Chatsworth,Unincorporated - West Chatsworth,Unincorporated - West Chatsworth,4,33333,0,0,0,0
Unincorporated,Unincorporated,West LA,Unincorporated - West LA,Unincorporated - West LA,559,58718,21,2206,0.41,0.19
Unincorporated,Unincorporated,West Puente Valley,Unincorporated - West Puente Valley,Unincorporated - West Puente Valley,3224,32781,37,376,0.82,0.75
Unincorporated,Unincorporated,West Rancho Dominguez,Unincorporated - West Rancho Dominguez,Unincorporated - West Rancho Dominguez,390,28698,9,662,0.73,0.68
Unincorporated,Unincorporated,West Whittier/Los Nietos,Unincorporated - West Whittier/Los Nietos,Unincorporated - West Whittier/Los Nietos,8253,30652,111,412,0.8,0.73
Unincorporated,Unincorporated,Westfield/Academy Hills,Unincorporated - Westfield/Academy Hills,Unincorporated - Westfield/Academy Hills,170,13077,0,0,0,0.91
Unincorporated,Unincorporated,Westhills,Unincorporated - Westhills,Unincorporated - Westhills,130,15495,1,119,0.74,0.7
Unincorporated,Unincorporated,White Fence Farms,Unincorporated - White Fence Farms,Unincorporated - White Fence Farms,728,19766,9,244,0.57,0.53
Unincorporated,Unincorporated,Whittier,Unincorporated - Whittier,Unincorporated - Whittier,734,19397,10,264,0.82,0.74
Unincorporated,Unincorporated,Whittier Narrows,Unincorporated - Whittier Narrows,Unincorporated - Whittier Narrows,65,541667,1,8333,0,0
Unincorporated,Unincorporated,Willowbrook,Unincorporated - Willowbrook,Unincorporated - Willowbrook,13754,39395,130,372,0.75,0.66
Unincorporated,Unincorporated,Wiseburn,Unincorporated - Wiseburn,Unincorporated - Wiseburn,1420,23561,15,249,0.86,0.8
City,Los Angeles,View Heights,Los Angeles - View Heights,Los Angeles - View Heights,753,20384,9,244,0.74,0.7
Unincorporated,Unincorporated,Valencia,Unincorporated - Valencia,Unincorporated - Valencia,674,21940,2,65,0,0.89
City,Bradbury, ,City of Bradbury,City of Bradbury,66,6174,0,0,0.72,0.66
City,Monrovia, ,City of Monrovia,City of Monrovia,8296,21381,103,265,0.81,0.76
City,Diamond Bar, ,City of Diamond Bar,City of Diamond Bar,9196,15989,107,186,0.88,0.82
City,Pomona, ,City of Pomona,City of Pomona,52063,33388,584,375,0.75,0.68
